variable,mean_abs_shap
AGE5,0.06884485899646083
HOTFLAS5,0.02321284678081296
BRSTPAI5,0.016421093472564815
VAGINDR5,0.010374878836688235
GETUPUR5,0.01000198761202758
BMI5,0.009945287014349396
DESIRSE5,0.008321551439133287
LUBRICN5,0.007652619817953378
PELVIC5,0.00679259171189182
NITESWE5,0.005996972475872405
