,precision,recall,f1-score,support
Natural Post,0.6334405144694534,0.7314356435643564,0.6789201608271108,808.0
Late Peri,0.26666666666666666,0.15827338129496402,0.1986455981941309,278.0
Early Peri,0.648590021691974,0.5997993981945837,0.6232412714955706,997.0
Pre,0.11413043478260869,0.17355371900826447,0.1377049180327869,121.0
accuracy,0.5689655172413793,0.5689655172413793,0.5689655172413793,0.5689655172413793
macro avg,0.4157069094026757,0.4157655355155422,0.40962798713739984,2204.0
weighted avg,0.5655205550182603,0.5689655172413793,0.5634413833980604,2204.0
